gene_id	length	gef_25_S15_NumReads	gef_25_S16_NumReads	gef_25_S27_NumReads	gef_25_S28_NumReads	gef_5_S29_NumReads	gef_5_S30_NumReads	gef_5_S31_NumReads	gef_5_S32_NumReads	lap_25_S1_NumReads	lap_25_S17_NumReads	lap_25_S18_NumReads	lap_25_S2_NumReads	lap_5_S19_NumReads	lap_5_S3_NumReads	lap_5_S4_NumReads	lap_5_S5_NumReads	pel_25_S11_NumReads	pel_25_S12_NumReads	pel_25_S23_NumReads	pel_25_S24_NumReads	pel_5_S13_NumReads	pel_5_S14_NumReads	pel_5_S25_NumReads	pel_5_S26_NumReads	var_25_S20_NumReads	var_25_S6_NumReads	var_25_S7_NumReads	var_25_S8_NumReads	var_5_S10_NumReads	var_5_S21_NumReads	var_5_S22_NumReads	var_5_S9_NumReads	gef_25_S15_TPM	gef_25_S16_TPM	gef_25_S27_TPM	gef_25_S28_TPM	gef_5_S29_TPM	gef_5_S30_TPM	gef_5_S31_TPM	gef_5_S32_TPM	lap_25_S1_TPM	lap_25_S17_TPM	lap_25_S18_TPM	lap_25_S2_TPM	lap_5_S19_TPM	lap_5_S3_TPM	lap_5_S4_TPM	lap_5_S5_TPM	pel_25_S11_TPM	pel_25_S12_TPM	pel_25_S23_TPM	pel_25_S24_TPM	pel_5_S13_TPM	pel_5_S14_TPM	pel_5_S25_TPM	pel_5_S26_TPM	var_25_S20_TPM	var_25_S6_TPM	var_25_S7_TPM	var_25_S8_TPM	var_5_S10_TPM	var_5_S21_TPM	var_5_S22_TPM	var_5_S9_TPM
MTB000025	86	2	1	8	7	5	1	3	3	1	0	1	0	0	4	4	4	2	2	1	5	5	6	11	1	1	5	7	1	5	0	2	3	1.9993121707973	1.12837936324423	8.52175094022426	7.03125243234443	3.32910995728299	1.70001477728434	5.69960410980494	6.61382861415855	0.779025539855655	0	2.49387909750543	0	0	3.92786803124861	3.95570535341452	6.05185651399075	2.07739052680262	1.91758771878265	2.58810667169058	8.89164968100078	3.86553571260797	10.3018678397397	9.16095523839632	2.93814075463903	2.73448441490551	4.46216156647232	4.9936101063489	1.5126273348544	6.32892161354312	0	10.0648295208702	4.43811704873017
MTB000027	72	3	1	2	6	3	2	1	2	2	0	1	1	3	4	3	0	2	1	0	0	1	2	4	0	1	1	7	2	7	0	0	2	3.58210097267849	1.34778646165283	2.54468951687252	7.1986632045431	2.38586213605281	4.06114641240149	2.26928682149641	5.26656722979292	1.86100545632184	0	2.97880003313149	1.97566655577217	5.93990881708961	4.69162014843584	3.54365271243384	0	2.4813275736809	1.14522599871742	0	0	0.923433531345237	4.10166960285934	3.97900076011153	0	3.26618971780381	1.06596081865728	5.96458984925007	3.61349863326328	10.5833633648693	0	0	3.53405616843328
MTB000028	74	19	5	13	10	28	11	8	10	24	7	2	5	9	25	18	10	20	18	6	11	15	11	23	4	5	9	13	4	14	16	4	25	22.0734870748837	6.55679900263538	16.09344180941	11.6735078992591	21.6662075057769	21.7326213420404	17.663637961918	25.6211378746683	21.7284961386767	15.1640289773849	5.79658384825587	9.61135081186461	17.3381122228562	28.530122524272	20.6872698888029	17.5830966284866	24.1426466628412	20.0569310045645	18.0467978728694	22.7337854006128	13.4771380250386	21.9494751720581	22.2608961444078	13.6583840485923	15.8895716001266	9.33435960121507	10.7777144766372	7.03167301607989	20.5946530343403	59.9685330234577	23.3939280755362	42.9817642106751
MTB000029	73	14	10	27	23	31	4	6	3	5	2	2	1	6	12	14	3	14	21	10	7	16	7	32	5	7	5	21	3	13	4	3	7	16.4874784495887	13.2932363341101	33.8827152109602	27.2168636226561	24.3161839619629	8.0110285395317	13.429204203924	7.79163370983062	4.58878057723194	4.39193011478076	5.87598910645116	1.94860263035063	11.7170804063138	13.8820541378376	16.310511114764	5.34718828975895	17.1313574950024	23.7202973980922	30.490023803478	14.6651318026369	14.572540111092	14.1591882180898	31.3959512030718	17.3068564999285	22.5501317503167	5.25679307830986	17.6486494169591	5.34599797797855	19.3855735998389	15.1975049443009	17.7857946327707	12.199755540345
MTB000030	74	341	263	285	220	382	195	173	175	160	50	52	63	99	237	235	131	208	235	73	120	391	249	395	97	66	293	533	200	237	56	82	116	396.16100487028	344.887627538621	352.817762744758	256.8171737837	295.588973828813	385.260105608898	381.976170926477	448.369912806695	144.856640924511	108.314492695607	150.711180054653	121.103020229494	190.719234451418	270.465561530099	270.083801326038	230.338565833175	251.083525293549	261.854377004036	219.569374119911	248.004931643049	351.30406451934	496.856301622042	382.306694653959	331.215813178362	209.742345121672	303.885262572891	441.886293542125	351.583650803995	348.638054938475	209.889865582102	479.575525548493	199.435385937532
MTB000031	71	25	9	17	6	29	13	8	8	3	1	0	0	2	8	8	6	10	11	1	9	12	12	11	2	0	23	21	18	16	1	5	17	30.271275825452	12.3009243260709	21.9345068214927	7.3000528271423	23.3881696717289	26.7692467747028	18.4099888617174	21.3629769321178	2.83082520116562	2.2578232280211	0	0	4.01571300310284	9.51539861091213	9.58283550404643	10.9956266240114	12.5813792468328	12.7749153659746	3.13488977134351	19.3863009946327	11.2372756490463	24.9566375835948	11.0963683169307	7.11774943377343	0	24.8624100802317	18.145794470958	32.9795368218958	24.5312567330573	3.90640091878158	30.4780048871423	30.4625686631151
MTB000032	74	10	10	20	13	26	8	7	9	3	0	3	2	2	14	7	5	10	14	1	0	13	13	16	3	4	15	31	16	25	2	5	10	11.6176247762546	13.1135980052708	24.7591412452462	15.1755602690368	20.1186212553642	15.8055427942112	15.4556832166783	23.0590240872014	2.71606201733458	0	8.69487577238381	3.84454032474585	3.85291382730137	15.9768686135923	8.04504940120114	8.79154831424332	12.0713233314206	15.5998352257724	3.00779964547824	0	11.6801862883668	25.940288839705	15.4858407961097	10.2437880364442	12.7116572801013	15.5572660020251	25.700703751981	28.1266920643196	36.7761661327505	7.49606662793222	29.2424100944203	17.19270568427
MTB000033	73	36	22	24	39	68	14	15	13	17	9	7	8	11	28	23	11	35	21	4	11	29	12	46	16	8	16	32	11	17	6	3	23	42.3963731560851	29.2451199350422	30.117969076409	46.1503339688517	53.3387261101121	28.0385998883609	33.5730105098099	33.7637460759327	15.6018539625886	19.7636855165134	20.5659618725791	15.5888210428051	21.4813140782419	32.3914596549543	26.7958396885408	19.6063570624495	42.828393737506	23.7202973980922	12.1960095213912	23.0452071184294	26.4127289513542	24.2728940881539	45.1316798544157	55.3819407997713	25.7715791432191	16.8217378505915	26.8931800639377	19.6019925859213	25.3503654767124	22.7962574164514	17.7857946327707	40.0849110611337
MTB000034	73	157	113	148	79	138	61	78	98	66	8	14	19	35	100	82	46	123	95	33	81	158	100	143	30	44	139	323	145	146	26	22	112	184.895294041816	150.213570575444	185.727475971189	93.4840098343406	108.246238282286	122.168185227858	174.579654651012	254.5267011878	60.5719036194616	17.5677204591231	41.1319237451581	37.023449976662	68.3496357034969	115.68378448198	95.5329936721889	81.9902204429706	150.511212277521	107.306107277084	100.617078551477	169.696525144798	143.903833597033	202.274117401282	140.300656938727	103.841138999571	141.743685287705	146.138847577014	271.453036270371	258.389902268963	217.714903505883	98.783782137956	130.429160640318	195.19608864552
MTB000035	72	252	203	333	243	539	157	144	175	94	26	23	31	108	193	209	102	236	284	58	85	360	196	411	51	90	239	422	190	324	99	63	255	300.896481704993	273.600651715524	423.690804559275	291.545859783996	428.659897110821	318.799993373517	326.777302295483	460.82463260688	87.4672564471266	57.8880788739854	68.5124007620243	61.2456632289373	213.836717415226	226.370672162029	246.874472299557	184.329462988635	292.796653694347	325.244183635746	179.298278866564	180.549886578099	332.436071284285	401.963621080215	408.84232810146	178.981740970094	293.957074602343	254.764635659089	359.579559483361	343.282370160011	489.858532888237	381.362389696051	378.689210722743	450.592161475244
